orderNumber,customerID,storeID,productName,unitsOrdered,orderTime
1,3,17,7up,45,2016-09-10 13:01:00
2,24,2,Pepsi,5,2016-09-10 13:01:00
3,75,7,Lemonade,44,2016-09-10 13:02:00
4,62,5,Brisk,49,2016-09-10 13:02:00
5,1,4,Orange Juice,20,2016-09-10 13:02:00
6,48,14,Donuts,31,2016-09-10 13:03:00
7,55,18,Pudding,27,2016-09-10 13:04:00
8,79,5,Ice Cream,24,2016-09-10 13:05:00
9,20,15,Hot and Sour Soup,19,2016-09-10 13:07:00
10,52,17,Egg,21,2016-09-10 13:08:00
11,23,20,7up,13,2016-09-10 13:09:00
12,12,15,Pepsi,48,2016-09-10 13:10:00
13,9,1,Lemonade,17,2016-09-10 13:11:00
14,31,9,Brisk,35,2016-09-10 13:11:00
15,67,8,Orange Juice,20,2016-09-10 13:12:00
16,12,15,Donuts,25,2016-09-10 13:12:00
17,49,5,Pudding,21,2016-09-10 13:13:00
18,20,17,Ice Cream,38,2016-09-10 13:13:00
19,78,4,Hot and Sour Soup,31,2016-09-10 13:14:00
20,32,17,Egg,5,2016-09-10 13:14:00
21,41,2,7up,16,2016-09-10 13:15:00
22,44,9,Pepsi,32,2016-09-10 13:17:00
23,69,8,Lemonade,36,2016-09-10 13:18:00
24,53,8,Brisk,21,2016-09-10 13:19:00
25,82,20,Orange Juice,6,2016-09-10 13:20:00
26,65,3,Donuts,29,2016-09-10 13:21:00
27,55,6,Pudding,32,2016-09-10 13:24:00
28,32,5,Ice Cream,35,2016-09-10 13:28:00
29,38,19,Hot and Sour Soup,20,2016-09-10 13:28:00
30,37,13,Egg,20,2016-09-10 13:29:00
31,20,17,7up,29,2016-09-10 13:31:00
32,95,9,Pepsi,14,2016-09-10 13:32:00
33,37,10,Lemonade,19,2016-09-10 13:33:00
34,13,1,Brisk,43,2016-09-10 13:33:00
35,90,6,Orange Juice,28,2016-09-10 13:34:00
36,100,4,Donuts,28,2016-09-10 13:35:00
37,61,5,Pudding,32,2016-09-10 13:36:00
38,33,18,Ice Cream,34,2016-09-10 13:36:00
39,68,19,Hot and Sour Soup,43,2016-09-10 13:39:00
40,27,2,Egg,43,2016-09-10 13:39:00
41,71,5,7up,11,2016-09-10 13:41:00
42,31,8,Pepsi,46,2016-09-10 13:42:00
43,59,7,Lemonade,40,2016-09-10 13:43:00
44,56,18,Brisk,28,2016-09-10 13:43:00
45,93,14,Orange Juice,47,2016-09-10 13:44:00
46,93,4,Donuts,40,2016-09-10 13:45:00
47,97,8,Pudding,29,2016-09-10 13:45:00
48,32,19,Ice Cream,21,2016-09-10 13:45:00
49,60,14,Hot and Sour Soup,7,2016-09-10 13:47:00
50,62,5,Egg,41,2016-09-10 13:48:00
51,5,7,7up,38,2016-09-10 13:48:00
52,75,12,Pepsi,7,2016-09-10 13:49:00
53,51,7,Lemonade,33,2016-09-10 13:50:00
54,9,10,Brisk,44,2016-09-10 13:51:00
55,99,19,Orange Juice,41,2016-09-10 13:52:00
56,62,12,Donuts,9,2016-09-10 13:52:00
57,42,16,Pudding,46,2016-09-10 13:52:00
58,37,8,Ice Cream,29,2016-09-10 13:52:00
59,91,18,Hot and Sour Soup,36,2016-09-10 13:54:00
60,63,14,Egg,28,2016-09-10 13:54:00
61,69,3,7up,48,2016-09-10 13:55:00
62,42,14,Pepsi,30,2016-09-10 13:56:00
63,17,5,Lemonade,24,2016-09-10 13:57:00
64,54,2,Brisk,31,2016-09-10 13:58:00
65,6,10,Orange Juice,25,2016-09-10 14:01:00
66,24,11,Donuts,46,2016-09-10 14:02:00
67,84,5,Pudding,8,2016-09-10 14:03:00
68,99,11,Ice Cream,16,2016-09-10 14:05:00
69,18,15,Hot and Sour Soup,19,2016-09-10 14:05:00
70,55,20,Egg,28,2016-09-10 14:07:00
71,88,13,7up,18,2016-09-10 14:08:00
72,45,7,Pepsi,26,2016-09-10 14:08:00
73,25,10,Lemonade,33,2016-09-10 14:08:00
74,81,2,Brisk,10,2016-09-10 14:08:00
75,54,7,Orange Juice,17,2016-09-10 14:09:00
76,79,1,Donuts,28,2016-09-10 14:09:00
77,35,11,Pudding,27,2016-09-10 14:10:00
78,67,6,Ice Cream,17,2016-09-10 14:11:00
79,17,14,Hot and Sour Soup,47,2016-09-10 14:12:00
80,37,6,Egg,7,2016-09-10 14:12:00
81,47,5,7up,13,2016-09-10 14:12:00
82,22,18,Pepsi,23,2016-09-10 14:13:00
83,8,7,Lemonade,8,2016-09-10 14:15:00
84,48,14,Brisk,47,2016-09-10 14:16:00
85,46,6,Orange Juice,50,2016-09-10 14:16:00
86,78,2,Donuts,48,2016-09-10 14:17:00
87,2,20,Pudding,28,2016-09-10 14:18:00
88,78,2,Ice Cream,31,2016-09-10 14:23:00
89,20,18,Hot and Sour Soup,42,2016-09-10 14:25:00
90,80,16,Egg,12,2016-09-10 14:26:00
91,63,7,7up,13,2016-09-10 14:27:00
92,83,5,Pepsi,42,2016-09-10 14:27:00
93,20,4,Lemonade,27,2016-09-10 14:28:00
94,69,18,Brisk,48,2016-09-10 14:29:00
95,4,4,Orange Juice,32,2016-09-10 14:29:00
96,30,2,Donuts,19,2016-09-10 14:29:00
97,90,9,Pudding,5,2016-09-10 14:30:00
98,55,7,Ice Cream,48,2016-09-10 14:32:00
99,44,10,Hot and Sour Soup,7,2016-09-10 14:33:00
100,86,15,Egg,11,2016-09-10 14:33:00
101,49,4,7up,47,2016-09-10 14:35:00
102,61,18,Pepsi,14,2016-09-10 14:36:00
103,82,5,Lemonade,26,2016-09-10 14:36:00
104,72,18,Brisk,50,2016-09-10 14:36:00
105,85,17,Orange Juice,15,2016-09-10 14:37:00
106,18,16,Donuts,37,2016-09-10 14:38:00
107,45,13,Pudding,36,2016-09-10 14:40:00
108,48,5,Ice Cream,23,2016-09-10 14:40:00
109,7,15,Hot and Sour Soup,43,2016-09-10 14:41:00
110,12,8,Egg,20,2016-09-10 14:41:00
111,27,16,7up,30,2016-09-10 14:42:00
112,62,9,Pepsi,39,2016-09-10 14:43:00
113,81,3,Lemonade,25,2016-09-10 14:45:00
114,33,5,Brisk,20,2016-09-10 14:46:00
115,67,8,Orange Juice,48,2016-09-10 14:46:00
116,45,15,Donuts,13,2016-09-10 14:47:00
117,67,10,Pudding,17,2016-09-10 14:47:00
118,63,14,Ice Cream,34,2016-09-10 14:50:00
119,9,16,Hot and Sour Soup,23,2016-09-10 14:51:00
120,6,17,Egg,21,2016-09-10 14:52:00
121,25,4,7up,31,2016-09-10 14:53:00
122,67,6,Pepsi,50,2016-09-10 14:53:00
123,84,14,Lemonade,46,2016-09-10 14:53:00
124,6,9,Brisk,10,2016-09-10 14:53:00
125,71,14,Orange Juice,13,2016-09-10 14:54:00
126,79,3,Donuts,50,2016-09-10 14:55:00
127,33,3,Pudding,20,2016-09-10 14:56:00
128,74,5,Ice Cream,41,2016-09-10 14:57:00
129,2,16,Hot and Sour Soup,29,2016-09-10 14:58:00
130,82,8,Egg,44,2016-09-10 14:59:00
131,74,2,7up,19,2016-09-10 14:59:00
132,32,6,Pepsi,23,2016-09-10 14:59:00
133,94,10,Lemonade,6,2016-09-10 15:00:00
134,8,6,Brisk,34,2016-09-10 15:02:00
135,64,4,Orange Juice,50,2016-09-10 15:02:00
136,16,6,Donuts,37,2016-09-10 15:02:00
137,2,3,Pudding,40,2016-09-10 15:02:00
138,53,14,Ice Cream,6,2016-09-10 15:03:00
139,66,4,Hot and Sour Soup,28,2016-09-10 15:04:00
140,66,2,Egg,46,2016-09-10 15:04:00
141,45,16,7up,38,2016-09-10 15:05:00
142,4,3,Pepsi,9,2016-09-10 15:05:00
143,28,14,Lemonade,13,2016-09-10 15:05:00
144,38,7,Brisk,10,2016-09-10 15:05:00
145,100,6,Orange Juice,50,2016-09-10 15:06:00
146,12,19,Donuts,11,2016-09-10 15:07:00
147,17,1,Pudding,39,2016-09-10 15:07:00
148,62,15,Ice Cream,50,2016-09-10 15:08:00
149,50,19,Hot and Sour Soup,25,2016-09-10 15:09:00
150,94,12,Egg,47,2016-09-10 15:10:00
151,93,20,7up,13,2016-09-10 15:10:00
152,40,19,Pepsi,39,2016-09-10 15:13:00
153,34,14,Lemonade,43,2016-09-10 15:14:00
154,95,10,Brisk,26,2016-09-10 15:14:00
155,76,20,Orange Juice,18,2016-09-10 15:15:00
156,72,15,Donuts,32,2016-09-10 15:17:00
157,36,3,Pudding,34,2016-09-10 15:17:00
158,42,1,Ice Cream,7,2016-09-10 15:17:00
159,30,11,Hot and Sour Soup,32,2016-09-10 15:18:00
160,38,10,Egg,15,2016-09-10 15:19:00
161,75,3,7up,43,2016-09-10 15:19:00
162,84,11,Pepsi,8,2016-09-10 15:20:00
163,20,1,Lemonade,21,2016-09-10 15:20:00
164,78,13,Brisk,32,2016-09-10 15:21:00
165,50,13,Orange Juice,19,2016-09-10 15:22:00
166,86,2,Donuts,22,2016-09-10 15:22:00
167,68,16,Pudding,18,2016-09-10 15:23:00
168,89,19,Ice Cream,48,2016-09-10 15:24:00
169,36,4,Hot and Sour Soup,20,2016-09-10 15:26:00
170,64,8,Egg,50,2016-09-10 15:26:00
171,23,15,7up,24,2016-09-10 15:26:00
172,10,11,Pepsi,29,2016-09-10 15:27:00
173,86,8,Lemonade,35,2016-09-10 15:27:00
174,74,20,Brisk,20,2016-09-10 15:28:00
175,6,10,Orange Juice,9,2016-09-10 15:29:00
176,76,4,Donuts,24,2016-09-10 15:30:00
177,7,9,Pudding,35,2016-09-10 15:31:00
178,49,2,Ice Cream,23,2016-09-10 15:33:00
179,6,17,Hot and Sour Soup,25,2016-09-10 15:34:00
180,67,8,Egg,11,2016-09-10 15:35:00
181,37,6,7up,9,2016-09-10 15:35:00
182,96,18,Pepsi,10,2016-09-10 15:38:00
183,10,10,Lemonade,47,2016-09-10 15:39:00
184,23,1,Brisk,33,2016-09-10 15:39:00
185,37,15,Orange Juice,46,2016-09-10 15:40:00
186,14,5,Donuts,47,2016-09-10 15:44:00
187,84,2,Pudding,34,2016-09-10 15:44:00
188,46,9,Ice Cream,37,2016-09-10 15:44:00
189,11,11,Hot and Sour Soup,15,2016-09-10 15:45:00
190,6,13,Egg,25,2016-09-10 15:45:00
191,47,10,7up,14,2016-09-10 15:47:00
192,99,15,Pepsi,50,2016-09-10 15:48:00
193,40,14,Lemonade,36,2016-09-10 15:49:00
194,33,11,Brisk,23,2016-09-10 15:51:00
195,72,8,Orange Juice,50,2016-09-10 15:52:00
196,95,10,Donuts,40,2016-09-10 15:53:00
197,51,18,Pudding,39,2016-09-10 15:55:00
198,94,17,Ice Cream,7,2016-09-10 15:55:00
199,28,19,Hot and Sour Soup,49,2016-09-10 15:56:00
200,49,7,Egg,20,2016-09-10 15:58:00
201,20,4,7up,39,2016-09-10 15:59:00
202,26,3,Pepsi,25,2016-09-10 16:00:00
203,81,10,Lemonade,26,2016-09-10 16:01:00
204,54,19,Brisk,30,2016-09-10 16:02:00
205,63,17,Orange Juice,42,2016-09-10 16:03:00
206,6,8,Donuts,47,2016-09-10 16:04:00
207,13,11,Pudding,5,2016-09-10 16:05:00
208,93,7,Ice Cream,29,2016-09-10 16:07:00
209,54,18,Hot and Sour Soup,30,2016-09-10 16:07:00
210,21,20,Egg,25,2016-09-10 16:08:00
211,75,9,7up,26,2016-09-10 16:08:00
212,63,4,Pepsi,32,2016-09-10 16:09:00
213,68,11,Lemonade,5,2016-09-10 16:10:00
214,93,12,Brisk,19,2016-09-10 16:11:00
215,80,3,Orange Juice,28,2016-09-10 16:12:00
216,22,19,Donuts,6,2016-09-10 16:12:00
217,19,7,Pudding,43,2016-09-10 16:12:00
218,95,15,Ice Cream,48,2016-09-10 16:12:00
219,35,13,Hot and Sour Soup,18,2016-09-10 16:12:00
220,52,17,Egg,47,2016-09-10 16:12:00
221,41,19,7up,6,2016-09-10 16:13:00
222,93,16,Pepsi,29,2016-09-10 16:14:00
223,4,7,Lemonade,44,2016-09-10 16:15:00
224,25,6,Brisk,30,2016-09-10 16:16:00
225,53,17,Orange Juice,9,2016-09-10 16:16:00
226,71,11,Donuts,45,2016-09-10 16:17:00
227,34,17,Pudding,25,2016-09-10 16:18:00
228,56,12,Ice Cream,33,2016-09-10 16:21:00
229,91,17,Hot and Sour Soup,28,2016-09-10 16:22:00
230,31,10,Egg,16,2016-09-10 16:24:00
231,53,4,7up,26,2016-09-10 16:25:00
232,84,6,Pepsi,25,2016-09-10 16:25:00
233,94,9,Lemonade,11,2016-09-10 16:26:00
234,3,17,Brisk,11,2016-09-10 16:27:00
235,92,11,Orange Juice,48,2016-09-10 16:28:00
236,77,6,Donuts,10,2016-09-10 16:28:00
237,48,2,Pudding,20,2016-09-10 16:28:00
238,74,14,Ice Cream,33,2016-09-10 16:28:00
239,73,11,Hot and Sour Soup,48,2016-09-10 16:29:00
240,94,8,Egg,35,2016-09-10 16:29:00
241,66,14,7up,41,2016-09-10 16:29:00
242,38,11,Pepsi,49,2016-09-10 16:30:00
243,70,4,Lemonade,49,2016-09-10 16:30:00
244,10,1,Brisk,34,2016-09-10 16:31:00
245,76,6,Orange Juice,23,2016-09-10 16:32:00
246,44,20,Donuts,9,2016-09-10 16:33:00
247,5,8,Pudding,38,2016-09-10 16:33:00
248,27,11,Ice Cream,41,2016-09-10 16:36:00
249,78,4,Hot and Sour Soup,50,2016-09-10 16:37:00
250,84,10,Egg,17,2016-09-10 16:37:00
251,9,10,7up,8,2016-09-10 16:38:00
252,65,8,Pepsi,21,2016-09-10 16:39:00
253,12,1,Lemonade,22,2016-09-10 16:41:00
254,92,19,Brisk,14,2016-09-10 16:43:00
255,20,6,Orange Juice,9,2016-09-10 16:43:00
256,29,1,Donuts,41,2016-09-10 16:43:00
257,67,7,Pudding,26,2016-09-10 16:43:00
258,86,15,Ice Cream,24,2016-09-10 16:44:00
259,3,13,Hot and Sour Soup,40,2016-09-10 16:44:00
260,59,10,Egg,17,2016-09-10 16:45:00
261,4,17,7up,36,2016-09-10 16:46:00
262,29,3,Pepsi,12,2016-09-10 16:47:00
263,40,10,Lemonade,9,2016-09-10 16:48:00
264,95,6,Brisk,46,2016-09-10 16:51:00
265,5,15,Orange Juice,28,2016-09-10 16:52:00
266,84,20,Donuts,40,2016-09-10 16:53:00
267,58,5,Pudding,34,2016-09-10 16:53:00
268,75,3,Ice Cream,19,2016-09-10 16:53:00
269,1,16,Hot and Sour Soup,5,2016-09-10 16:53:00
270,75,3,Egg,30,2016-09-10 16:55:00
271,18,9,7up,19,2016-09-10 16:55:00
272,66,11,Pepsi,44,2016-09-10 16:56:00
273,4,14,Lemonade,8,2016-09-10 16:57:00
274,28,15,Brisk,38,2016-09-10 16:58:00
275,85,3,Orange Juice,40,2016-09-10 16:59:00
276,37,2,Donuts,47,2016-09-10 17:00:00
277,56,15,Pudding,15,2016-09-10 17:01:00
278,15,10,Ice Cream,42,2016-09-10 17:02:00
279,76,20,Hot and Sour Soup,46,2016-09-10 17:03:00
280,42,6,Egg,36,2016-09-10 17:04:00
281,99,6,7up,13,2016-09-10 17:05:00
282,31,2,Pepsi,45,2016-09-10 17:05:00
283,93,2,Lemonade,39,2016-09-10 17:06:00
284,10,12,Brisk,48,2016-09-10 17:10:00
285,94,16,Orange Juice,21,2016-09-10 17:11:00
286,11,15,Donuts,6,2016-09-10 17:12:00
287,75,13,Pudding,16,2016-09-10 17:16:00
288,13,1,Ice Cream,41,2016-09-10 17:17:00
289,29,3,Hot and Sour Soup,18,2016-09-10 17:17:00
290,40,1,Egg,39,2016-09-10 17:18:00
291,85,19,7up,18,2016-09-10 17:19:00
292,40,15,Pepsi,25,2016-09-10 17:21:00
293,62,8,Lemonade,45,2016-09-10 17:22:00
294,12,15,Brisk,17,2016-09-10 17:23:00
295,44,2,Orange Juice,7,2016-09-10 17:23:00
296,18,2,Donuts,36,2016-09-10 17:25:00
297,58,18,Pudding,35,2016-09-10 17:26:00
298,40,17,Ice Cream,13,2016-09-10 17:26:00
299,44,14,Hot and Sour Soup,23,2016-09-10 17:27:00
300,65,16,Egg,21,2016-09-10 17:27:00
301,25,8,7up,21,2016-09-10 17:27:00
302,76,17,Pepsi,31,2016-09-10 17:30:00
303,32,11,Lemonade,13,2016-09-10 17:31:00
304,31,6,Brisk,28,2016-09-10 17:31:00
305,31,8,Orange Juice,21,2016-09-10 17:32:00
306,22,20,Donuts,16,2016-09-10 17:32:00
307,71,17,Pudding,41,2016-09-10 17:32:00
308,52,8,Ice Cream,13,2016-09-10 17:33:00
309,94,16,Hot and Sour Soup,18,2016-09-10 17:34:00
310,69,10,Egg,39,2016-09-10 17:35:00
311,61,15,7up,20,2016-09-10 17:37:00
312,97,19,Pepsi,17,2016-09-10 17:39:00
313,60,1,Lemonade,9,2016-09-10 17:39:00
314,20,2,Brisk,17,2016-09-10 17:39:00
315,84,12,Orange Juice,19,2016-09-10 17:40:00
316,96,13,Donuts,7,2016-09-10 17:41:00
317,66,8,Pudding,37,2016-09-10 17:42:00
318,55,14,Ice Cream,17,2016-09-10 17:42:00
319,91,18,Hot and Sour Soup,27,2016-09-10 17:43:00
320,12,19,Egg,40,2016-09-10 17:43:00
321,39,9,7up,18,2016-09-10 17:44:00
322,2,2,Pepsi,7,2016-09-10 17:45:00
323,48,10,Lemonade,14,2016-09-10 17:45:00
324,54,4,Brisk,24,2016-09-10 17:47:00
325,32,5,Orange Juice,7,2016-09-10 17:47:00
326,87,14,Donuts,50,2016-09-10 17:47:00
327,47,4,Pudding,47,2016-09-10 17:47:00
328,85,13,Ice Cream,22,2016-09-10 17:48:00
329,77,16,Hot and Sour Soup,46,2016-09-10 17:49:00
330,96,16,Egg,29,2016-09-10 17:50:00
331,73,3,7up,31,2016-09-10 17:50:00
332,42,19,Pepsi,44,2016-09-10 17:51:00
333,92,11,Lemonade,40,2016-09-10 17:51:00
334,28,11,Brisk,34,2016-09-10 17:51:00
335,67,9,Orange Juice,11,2016-09-10 17:51:00
336,87,17,Donuts,5,2016-09-10 17:53:00
337,59,20,Pudding,26,2016-09-10 17:53:00
338,88,10,Ice Cream,12,2016-09-10 17:53:00
339,78,2,Hot and Sour Soup,39,2016-09-10 17:53:00
340,67,18,Egg,19,2016-09-10 17:54:00
341,64,13,7up,34,2016-09-10 17:55:00
342,94,7,Pepsi,8,2016-09-10 17:55:00
343,85,1,Lemonade,24,2016-09-10 17:57:00
344,89,8,Brisk,14,2016-09-10 17:57:00
345,89,4,Orange Juice,21,2016-09-10 17:57:00
346,37,12,Donuts,39,2016-09-10 17:58:00
347,100,14,Pudding,26,2016-09-10 17:59:00
348,93,4,Ice Cream,17,2016-09-10 17:59:00
349,90,18,Hot and Sour Soup,36,2016-09-10 18:00:00
350,11,3,Egg,36,2016-09-10 18:01:00
351,48,12,7up,47,2016-09-10 18:03:00
352,36,13,Pepsi,8,2016-09-10 18:04:00
353,51,14,Lemonade,6,2016-09-10 18:05:00
354,73,8,Brisk,36,2016-09-10 18:05:00
355,41,12,Orange Juice,41,2016-09-10 18:06:00
356,37,17,Donuts,37,2016-09-10 18:06:00
357,35,4,Pudding,28,2016-09-10 18:07:00
358,89,5,Ice Cream,26,2016-09-10 18:08:00
359,11,20,Hot and Sour Soup,26,2016-09-10 18:09:00
360,28,6,Egg,10,2016-09-10 18:09:00
361,30,3,7up,6,2016-09-10 18:11:00
362,73,1,Pepsi,35,2016-09-10 18:12:00
363,6,19,Lemonade,7,2016-09-10 18:13:00
364,48,3,Brisk,22,2016-09-10 18:13:00
365,94,6,Orange Juice,39,2016-09-10 18:14:00
366,57,8,Donuts,34,2016-09-10 18:15:00
367,12,5,Pudding,45,2016-09-10 18:16:00
368,47,10,Ice Cream,19,2016-09-10 18:17:00
369,35,2,Hot and Sour Soup,44,2016-09-10 18:19:00
370,15,12,Egg,28,2016-09-10 18:19:00
371,16,3,7up,35,2016-09-10 18:19:00
372,83,4,Pepsi,36,2016-09-10 18:19:00
373,50,10,Lemonade,28,2016-09-10 18:20:00
374,70,11,Brisk,40,2016-09-10 18:21:00
375,99,2,Orange Juice,49,2016-09-10 18:22:00
376,10,15,Donuts,20,2016-09-10 18:23:00
377,3,12,Pudding,5,2016-09-10 18:23:00
378,31,8,Ice Cream,42,2016-09-10 18:24:00
379,76,4,Hot and Sour Soup,48,2016-09-10 18:26:00
380,64,7,Egg,45,2016-09-10 18:27:00
381,2,15,7up,7,2016-09-10 18:27:00
382,72,13,Pepsi,31,2016-09-10 18:28:00
383,20,19,Lemonade,19,2016-09-10 18:29:00
384,8,9,Brisk,45,2016-09-10 18:30:00
385,65,12,Orange Juice,24,2016-09-10 18:30:00
386,66,17,Donuts,48,2016-09-10 18:31:00
387,67,5,Pudding,9,2016-09-10 18:31:00
388,35,7,Ice Cream,13,2016-09-10 18:31:00
389,12,10,Hot and Sour Soup,11,2016-09-10 18:32:00
390,64,19,Egg,11,2016-09-10 18:33:00
391,33,14,7up,28,2016-09-10 18:33:00
392,82,15,Pepsi,22,2016-09-10 18:33:00
393,48,18,Lemonade,25,2016-09-10 18:34:00
394,89,3,Brisk,25,2016-09-10 18:35:00
395,24,17,Orange Juice,26,2016-09-10 18:36:00
396,65,7,Donuts,23,2016-09-10 18:37:00
397,71,13,Pudding,16,2016-09-10 18:38:00
398,20,11,Ice Cream,7,2016-09-10 18:38:00
399,91,10,Hot and Sour Soup,49,2016-09-10 18:39:00
400,36,10,Egg,23,2016-09-10 18:39:00
401,47,4,7up,50,2016-09-10 18:41:00
402,6,1,Pepsi,19,2016-09-10 18:41:00
403,48,15,Lemonade,18,2016-09-10 18:42:00
404,95,20,Brisk,22,2016-09-10 18:43:00
405,78,20,Orange Juice,13,2016-09-10 18:43:00
406,82,3,Donuts,29,2016-09-10 18:43:00
407,13,12,Pudding,24,2016-09-10 18:44:00
408,19,11,Ice Cream,37,2016-09-10 18:46:00
409,1,13,Hot and Sour Soup,20,2016-09-10 18:47:00
410,42,11,Egg,29,2016-09-10 18:47:00
411,23,14,7up,19,2016-09-10 18:48:00
412,21,8,Pepsi,33,2016-09-10 18:48:00
413,26,8,Lemonade,26,2016-09-10 18:48:00
414,93,6,Brisk,38,2016-09-10 18:48:00
415,35,3,Orange Juice,44,2016-09-10 18:49:00
416,83,5,Donuts,18,2016-09-10 18:49:00
417,37,9,Pudding,21,2016-09-10 18:49:00
418,12,3,Ice Cream,28,2016-09-10 18:50:00
419,28,18,Hot and Sour Soup,37,2016-09-10 18:51:00
420,40,13,Egg,7,2016-09-10 18:52:00
421,4,1,7up,24,2016-09-10 18:53:00
422,27,10,Pepsi,49,2016-09-10 18:53:00
423,23,4,Lemonade,33,2016-09-10 18:54:00
424,24,3,Brisk,20,2016-09-10 18:54:00
425,7,6,Orange Juice,23,2016-09-10 18:57:00
426,28,3,Donuts,10,2016-09-10 18:57:00
427,75,7,Pudding,7,2016-09-10 18:59:00
428,4,13,Ice Cream,18,2016-09-10 19:00:00
429,14,9,Hot and Sour Soup,29,2016-09-10 19:01:00
430,3,20,Egg,12,2016-09-10 19:02:00
431,66,20,7up,34,2016-09-10 19:02:00
432,50,20,Pepsi,42,2016-09-10 19:04:00
433,41,9,Lemonade,36,2016-09-10 19:04:00
434,72,18,Brisk,36,2016-09-10 19:04:00
435,10,19,Orange Juice,50,2016-09-10 19:04:00
436,25,10,Donuts,12,2016-09-10 19:05:00
437,6,20,Pudding,16,2016-09-10 19:05:00
438,60,6,Ice Cream,8,2016-09-10 19:07:00
439,66,16,Hot and Sour Soup,8,2016-09-10 19:07:00
440,76,20,Egg,30,2016-09-10 19:08:00
441,39,18,7up,23,2016-09-10 19:09:00
442,46,14,Pepsi,6,2016-09-10 19:10:00
443,31,5,Lemonade,16,2016-09-10 19:10:00
444,53,7,Brisk,25,2016-09-10 19:11:00
445,3,3,Orange Juice,11,2016-09-10 19:11:00
446,53,13,Donuts,22,2016-09-10 19:12:00
447,30,7,Pudding,30,2016-09-10 19:12:00
448,77,6,Ice Cream,34,2016-09-10 19:14:00
449,22,9,Hot and Sour Soup,29,2016-09-10 19:15:00
450,49,4,Egg,8,2016-09-10 19:15:00
451,5,2,7up,35,2016-09-10 19:16:00
452,1,12,Pepsi,43,2016-09-10 19:16:00
453,36,17,Lemonade,7,2016-09-10 19:19:00
454,64,3,Brisk,43,2016-09-10 19:19:00
455,47,1,Orange Juice,31,2016-09-10 19:20:00
456,14,16,Donuts,12,2016-09-10 19:22:00
457,84,18,Pudding,5,2016-09-10 19:23:00
458,11,1,Ice Cream,14,2016-09-10 19:24:00
459,59,20,Hot and Sour Soup,36,2016-09-10 19:24:00
460,91,10,Egg,18,2016-09-10 19:24:00
461,83,3,7up,24,2016-09-10 19:24:00
462,56,14,Pepsi,24,2016-09-10 19:25:00
463,40,13,Lemonade,40,2016-09-10 19:28:00
464,86,20,Brisk,7,2016-09-10 19:29:00
465,8,6,Orange Juice,30,2016-09-10 19:30:00
466,79,18,Donuts,15,2016-09-10 19:31:00
467,99,16,Pudding,22,2016-09-10 19:31:00
468,9,6,Ice Cream,25,2016-09-10 19:31:00
469,48,15,Hot and Sour Soup,20,2016-09-10 19:33:00
470,27,7,Egg,19,2016-09-10 19:33:00
471,54,17,7up,9,2016-09-10 19:34:00
472,61,6,Pepsi,38,2016-09-10 19:35:00
473,95,8,Lemonade,16,2016-09-10 19:36:00
474,39,1,Brisk,23,2016-09-10 19:37:00
475,33,5,Orange Juice,29,2016-09-10 19:37:00
476,87,19,Donuts,17,2016-09-10 19:37:00
477,17,9,Pudding,22,2016-09-10 19:38:00
478,27,11,Ice Cream,44,2016-09-10 19:39:00
479,90,4,Hot and Sour Soup,26,2016-09-10 19:40:00
480,43,11,Egg,22,2016-09-10 19:42:00
481,89,1,7up,28,2016-09-10 19:43:00
482,26,15,Pepsi,12,2016-09-10 19:44:00
483,21,2,Lemonade,34,2016-09-10 19:45:00
484,28,15,Brisk,50,2016-09-10 19:45:00
485,34,2,Orange Juice,36,2016-09-10 19:46:00
486,19,1,Donuts,8,2016-09-10 19:47:00
487,6,12,Pudding,46,2016-09-10 19:47:00
488,89,17,Ice Cream,25,2016-09-10 19:48:00
489,71,10,Hot and Sour Soup,20,2016-09-10 19:49:00
490,79,17,Egg,36,2016-09-10 19:50:00
491,13,11,7up,6,2016-09-10 19:53:00
492,75,20,Pepsi,26,2016-09-10 19:53:00
493,39,9,Lemonade,8,2016-09-10 19:53:00
494,28,12,Brisk,12,2016-09-10 19:53:00
495,42,11,Orange Juice,9,2016-09-10 19:55:00
496,93,16,Donuts,18,2016-09-10 19:55:00
497,63,17,Pudding,49,2016-09-10 19:56:00
498,32,10,Ice Cream,7,2016-09-10 19:57:00
499,2,10,Hot and Sour Soup,45,2016-09-10 19:58:00
500,69,1,Egg,28,2016-09-10 19:58:00