storeID,name,latitude,longitude,managerID,dateEstablished
1,eyeg,94.77143,25.58018,25,3/13/1953
2,yvmx,86.24725,3.65924,20,4/3/1955
3,tblw,9.25529,14.25107,10,12/30/1938
4,ztui,1.17467,59.02306,20,4/17/1954
5,klzm,42.09624,53.95855,40,9/7/1984
6,kpiy,30.40891,64.67752,51,3/23/1971
7,rzqq,81.23403,87.33908,10,5/5/1950
8,txyh,7.18984,49.59534,51,4/7/1971
9,lafo,10.68398,75.92809,87,12/2/1968
10,xyjy,9.74699,17.30386,51,9/11/1908
11,dhya,17.00988,10.88299,87,5/19/1998
12,lroe,81.01829,14.13033,10,6/13/1958
13,pnvz,3.44447,28.84102,10,12/5/1926
14,jnsr,21.9241,22.35476,40,10/17/1966
15,yqyz,30.79825,88.31944,40,8/12/1933
16,zijt,74.18743,0.30349,40,11/24/1975
17,fmpw,62.55863,1.1635,20,12/13/1957
18,rpiz,77.79567,62.75695,51,2/21/1927
19,acry,17.99248,58.7644,25,11/24/1956
20,egxf,40.64981,53.62325,25,5/10/1970